w_EXUS,w_GOLD,w_GOVH,w_HPRD,w_IWMO,w_IWVL,w_LGAP,w_MVOL,w_MWEQ,w_PRAM,w_SP5A,w_WEBN,annualised_return_p1,annualised_return_p5,annualised_return_p50,annualised_return_p95,annualised_return_p99,max_dd_depth_p2,max_dd_length_months_p2,mda_months_p2,shannon_entropy,volatility_10y,volatility_1y,volatility_3y,volatility_5y
0.1,0.2,0.3,0.1,0.0,0.0,0.0,-0.0,0.0,0.0,0.1,0.2,0.019504,0.033218,0.070624,0.111886,0.130193,0.150109,60,4.656247,0.682417,0.024019,0.076261,0.042002,0.033932
0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.005298,0.020912,0.067105,0.112511,0.131698,0.210275,84,8.712601,0.682417,0.027939,0.087776,0.051073,0.03918
0.1,0.1,0.3,0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.1,0.2,0.015868,0.028456,0.07095,0.109855,0.127839,0.16587,72,6.041558,0.682417,0.02464,0.076306,0.046311,0.034905
0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,-0.005455,0.010809,0.066964,0.113465,0.127748,0.29263,84,14.40549,0.66136,0.029888,0.092329,0.055587,0.042739
0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.002624,0.020187,0.069874,0.116163,0.132621,0.247119,72,10.323721,0.605571,0.02837,0.085927,0.051622,0.039336
0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.3,-0.008983,0.016057,0.066762,0.113334,0.13358,0.295743,96,15.125649,0.66136,0.029453,0.092057,0.055065,0.041872
0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.003778,0.020215,0.070367,0.110516,0.125377,0.229948,72,9.67768,0.66136,0.027039,0.083723,0.050832,0.038002
0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,-0.001387,0.019237,0.065639,0.109966,0.124662,0.219871,84,10.057551,0.605571,0.028081,0.087909,0.051182,0.04016
0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.022264,0.036634,0.084554,0.129837,0.145885,0.180246,60,5.773658,0.759263,0.02781,0.090626,0.051659,0.039827
0.0,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.008708,0.032975,0.08244,0.135895,0.154989,0.258864,72,9.82337,0.738206,0.03162,0.098277,0.0562,0.044568
0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.009588,0.025704,0.083417,0.13299,0.158441,0.2128,72,7.910512,0.738206,0.0321,0.099805,0.057624,0.046457
0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.011556,0.032825,0.08384,0.13319,0.153952,0.199145,60,6.616337,0.682417,0.030589,0.092696,0.055206,0.042904
0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.020232,0.035914,0.07897,0.119407,0.12972,0.153469,48,4.571322,0.759263,0.0253,0.077628,0.046291,0.035668
0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.015531,0.035241,0.07883,0.122203,0.140042,0.191824,60,6.443614,0.759263,0.026833,0.085981,0.048469,0.038508
0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.2,0.014396,0.033243,0.07826,0.123154,0.141819,0.184097,60,6.002587,0.759263,0.02766,0.089083,0.050146,0.038746
0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.025868,0.04065,0.079605,0.122091,0.135891,0.147723,60,4.504199,0.703474,0.024818,0.079977,0.045993,0.035625
0.0,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.000981,0.019581,0.075067,0.12425,0.147893,0.293411,72,11.486724,0.682417,0.032486,0.099665,0.055977,0.041793
0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.003347,0.02637,0.076138,0.121495,0.141777,0.255525,72,11.339331,0.738206,0.02964,0.090945,0.053922,0.042326
0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.015257,0.031002,0.078122,0.125049,0.140691,0.19323,60,6.683919,0.682417,0.028222,0.086187,0.051516,0.039885
0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.3,0.005738,0.021033,0.073522,0.124036,0.148427,0.262325,84,11.125717,0.682417,0.031582,0.100534,0.057537,0.044494
0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.3,0.009755,0.033235,0.078429,0.124156,0.142096,0.207164,72,7.465604,0.682417,0.027785,0.088278,0.051935,0.039452
0.0,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.02365,0.036325,0.072525,0.110827,0.12398,0.139109,48,3.951929,0.682417,0.022282,0.072465,0.042088,0.032217
